frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h,track_id
137,4110.0,left,756.22,282.76,7.5,755,281,4,5,316
137,4110.0,left,745.0,288.5,12.0,744,285,3,8,317
137,4110.0,left,752.33,426.67,12.0,751,423,4,9,318
137,4110.0,left,765.5,442.5,4.0,764,441,4,4,315
137,4110.0,left,754.0,523.0,2.0,753,522,3,3,319
138,4140.0,left,745.0,289.0,10.0,744,286,3,7,317
138,4140.0,right,1451.32,534.14,45.5,1449,525,6,16,321
138,4140.0,right,1424.63,894.22,8.5,1423,892,4,5,324
138,4140.0,left,752.0,425.0,2.0,751,424,3,3,318
139,4170.0,right,1451.0,526.5,4.0,1450,525,3,4,321
139,4170.0,right,1425.0,894.5,4.0,1424,893,3,4,324
139,4170.0,right,1412.15,668.32,31.5,1409,665,7,9,326
139,4170.0,right,1446.22,691.63,8.5,1444,690,5,4,327
139,4170.0,right,1425.0,890.0,2.0,1424,889,3,3,328
139,4170.0,right,1393.0,932.0,6.0,1392,930,3,5,329
139,4170.0,right,1468.0,633.0,2.0,1467,632,3,3,330
140,4200.0,right,1428.18,397.79,605.5,1410,376,30,73,332
140,4200.0,right,1408.13,409.64,25.0,1406,406,6,9,333
140,4200.0,right,1451.62,536.12,24.5,1449,532,6,8,334
140,4200.0,right,1411.99,667.89,15.0,1410,665,5,8,326
140,4200.0,right,1397.0,680.0,2.0,1396,679,3,3,336
140,4200.0,right,1425.5,682.0,4.0,1424,681,4,3,337
140,4200.0,right,1446.0,691.5,4.0,1445,690,3,4,327
140,4200.0,right,1410.9,833.53,15.0,1409,829,5,11,338
140,4200.0,right,1408.3,888.3,5.5,1407,887,4,4,340
140,4200.0,right,1398.45,921.88,22.5,1395,918,8,9,341
141,4230.0,right,1408.32,409.32,17.5,1406,407,6,6,333
141,4230.0,right,1427.29,400.77,380.5,1411,377,27,70,332
141,4230.0,right,1429.2,600.89,13.5,1427,599,6,6,345
141,4230.0,right,1397.5,921.25,8.0,1395,919,6,5,341
141,4230.0,right,1408.0,888.0,2.0,1407,887,3,3,340
141,4230.0,right,1433.86,687.54,14.0,1432,685,5,6,347
141,4230.0,right,1426.0,682.0,2.0,1425,681,3,3,337
142,4260.0,right,1337.0,20.0,2.0,1336,19,3,3,349
142,4260.0,right,1378.54,23.79,19.0,1377,19,5,11,350
142,4260.0,right,1368.99,40.2,64.0,1361,34,20,15,351
142,4260.0,right,1366.0,96.0,2.0,1365,95,3,3,352
142,4260.0,right,1433.22,422.22,86.5,1431,407,5,35,353
142,4260.0,right,1419.39,388.09,114.5,1411,379,19,18,354
142,4260.0,right,1384.11,556.44,18.0,1381,553,9,9,355
142,4260.0,right,1360.0,557.0,2.0,1359,556,3,3,356
142,4260.0,right,1430.0,600.0,2.0,1429,599,3,3,345
142,4260.0,right,1434.0,687.0,6.0,1433,685,3,5,347
143,4290.0,right,1364.0,36.0,2.0,1363,35,3,3,351
143,4290.0,right,1383.75,558.5,8.0,1382,556,5,6,355
144,4320.0,right,1432.74,450.43,168.0,1424,437,19,32,359
144,4320.0,right,1420.0,901.5,4.0,1419,900,3,4,361
145,4350.0,right,1436.0,440.0,2.0,1435,439,3,3,362
145,4350.0,right,1437.35,467.31,200.5,1425,439,19,67,363
146,4380.0,right,1426.84,450.72,11.5,1425,448,5,6,364
146,4380.0,right,1433.0,448.33,6.0,1431,447,5,4,365
146,4380.0,right,1441.42,483.01,88.0,1439,464,5,42,366
146,4380.0,middle,1054.78,756.63,8.5,1053,755,5,4,368
146,4380.0,right,1438.0,457.5,4.0,1437,456,3,4,369
147,4410.0,right,1440.91,472.47,15.0,1439,468,4,11,370
