video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010072_2025Nov13.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
119,3570.000000,all,1296.11,53.66,16.50,1294,51,5,6
120,3600.000000,all,1306.47,734.99,58.50,1303,729,8,14
120,3600.000000,all,1020.50,141.00,4.00,1019,140,4,3
120,3600.000000,all,1296.11,53.66,16.50,1294,51,5,6
120,3600.000000,all,1825.00,33.00,2.00,1824,32,3,3
121,3630.000000,all,1306.48,735.08,57.50,1303,729,8,14
121,3630.000000,all,1020.50,141.00,4.00,1019,140,4,3
121,3630.000000,all,1296.11,53.66,16.50,1294,51,5,6
122,3660.000000,all,1306.66,734.99,60.50,1303,729,9,14
122,3660.000000,all,1020.50,141.00,4.00,1019,140,4,3
122,3660.000000,all,1296.10,53.81,17.50,1294,51,5,7
122,3660.000000,all,1825.00,33.00,2.00,1824,32,3,3
123,3690.000000,all,1306.66,734.99,60.50,1303,729,9,14
123,3690.000000,all,1020.50,141.00,4.00,1019,140,4,3
123,3690.000000,all,1296.10,53.81,17.50,1294,51,5,7
123,3690.000000,all,1825.00,33.00,2.00,1824,32,3,3
124,3720.000000,all,1306.49,734.97,56.50,1303,729,8,14
124,3720.000000,all,1020.50,141.00,4.00,1019,140,4,3
124,3720.000000,all,1296.10,53.81,17.50,1294,51,5,7
125,3750.000000,all,1306.43,734.80,54.00,1303,729,8,14
125,3750.000000,all,1020.50,141.00,4.00,1019,140,4,3
125,3750.000000,all,1296.11,53.66,16.50,1294,51,5,6
126,3780.000000,all,1306.48,734.62,52.50,1303,729,8,13
126,3780.000000,all,1020.50,141.00,4.00,1019,140,4,3
126,3780.000000,all,1296.11,53.66,16.50,1294,51,5,6
127,3810.000000,all,1306.72,734.54,51.50,1304,729,8,13
127,3810.000000,all,1020.50,141.00,4.00,1019,140,4,3
127,3810.000000,all,1296.10,53.81,17.50,1294,51,5,7
128,3840.000000,all,1306.75,734.59,53.50,1304,729,8,13
128,3840.000000,all,1020.50,141.00,4.00,1019,140,4,3
128,3840.000000,all,1296.10,53.81,17.50,1294,51,5,7
129,3870.000000,all,1306.84,734.48,51.50,1304,729,8,13
129,3870.000000,all,1020.50,141.00,4.00,1019,140,4,3
129,3870.000000,all,1296.11,53.66,16.50,1294,51,5,6
