video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010063.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
55,1.835167,all,1428.45,607.91,30.00,1426,602,6,14
55,1.835167,all,870.75,355.65,12.50,869,353,4,7
55,1.835167,all,1055.03,258.13,87.00,1046,255,18,7
55,1.835167,all,1402.84,145.26,48.00,1396,140,16,9
55,1.835167,all,1426.00,139.50,8.00,1425,137,3,6
55,1.835167,all,1418.00,135.63,15.00,1414,134,9,5
55,1.835167,all,1642.06,126.56,34.00,1638,124,9,6
56,1.868533,all,1411.67,684.52,29.00,1408,680,8,9
56,1.868533,all,870.65,355.68,13.50,869,353,4,7
56,1.868533,all,1055.13,258.12,86.00,1047,255,17,7
56,1.868533,all,1642.06,126.56,34.00,1638,124,9,6
57,1.901900,all,870.65,355.68,13.50,869,353,4,7
57,1.901900,all,1054.94,258.14,86.00,1046,255,18,7
57,1.901900,all,1642.21,126.59,32.50,1638,124,9,6
58,1.935267,all,870.65,355.68,13.50,869,353,4,7
58,1.935267,all,1055.04,258.13,85.00,1047,255,17,7
58,1.935267,all,1642.21,126.59,32.50,1638,124,9,6
59,1.968633,all,870.65,355.68,13.50,869,353,4,7
59,1.968633,all,1055.04,258.13,85.00,1047,255,17,7
59,1.968633,all,1642.21,126.59,32.50,1638,124,9,6
60,2.002000,all,1425.34,674.15,42.50,1421,664,8,24
60,2.002000,all,1416.33,661.00,6.00,1415,659,4,5
60,2.002000,all,1419.32,569.09,11.00,1418,566,4,7
60,2.002000,all,1411.62,427.74,258.50,1404,399,19,53
60,2.002000,all,1422.35,391.08,13.00,1421,387,4,9
60,2.002000,all,870.65,355.68,13.50,869,353,4,7
60,2.002000,all,1054.95,258.12,84.00,1047,255,17,7
60,2.002000,all,1642.21,126.59,32.50,1638,124,9,6
60,2.002000,all,1363.58,17.18,57.00,1357,14,15,7
61,2.035367,all,1410.08,430.67,52.00,1407,422,9,18
61,2.035367,all,870.75,355.65,12.50,869,353,4,7
61,2.035367,all,1054.95,258.12,84.00,1047,255,17,7
61,2.035367,all,1642.21,126.59,32.50,1638,124,9,6
61,2.035367,all,1359.70,16.30,5.50,1358,15,4,4
62,2.068733,all,870.65,355.68,13.50,869,353,4,7
62,2.068733,all,1055.04,258.13,85.00,1047,255,17,7
62,2.068733,all,1642.21,126.59,32.50,1638,124,9,6
63,2.102100,all,1421.74,676.67,50.50,1418,668,7,16
63,2.102100,all,1409.06,605.38,34.00,1405,593,10,24
63,2.102100,all,1403.93,421.88,95.00,1401,413,9,24
63,2.102100,all,870.80,355.49,15.00,869,353,5,7
63,2.102100,all,1055.04,258.13,85.00,1047,255,17,7
63,2.102100,all,1642.21,126.59,32.50,1638,124,9,6
63,2.102100,all,1353.10,21.54,19.00,1351,18,6,7
64,2.135467,all,1403.00,424.50,8.00,1402,422,3,6
64,2.135467,all,1404.46,416.22,16.00,1402,414,7,6
64,2.135467,all,870.80,355.49,15.00,869,353,5,7
64,2.135467,all,1055.04,258.13,85.00,1047,255,17,7
64,2.135467,all,1642.21,126.59,32.50,1638,124,9,6
65,2.168833,all,870.80,355.49,15.00,869,353,5,7
65,2.168833,all,1055.04,258.13,85.00,1047,255,17,7
65,2.168833,all,1642.21,126.59,32.50,1638,124,9,6
66,2.202200,all,870.80,355.49,15.00,869,353,5,7
66,2.202200,all,1055.04,258.13,85.00,1047,255,17,7
66,2.202200,all,1642.21,126.59,32.50,1638,124,9,6
67,2.235567,all,1364.50,895.40,56.50,1361,888,10,13
67,2.235567,all,1378.73,672.08,106.00,1372,656,14,32
67,2.235567,all,1406.67,640.00,6.00,1405,638,4,5
67,2.235567,all,1384.33,469.59,75.50,1382,456,7,31
67,2.235567,all,870.65,355.68,13.50,869,353,4,7
67,2.235567,all,1055.04,258.13,85.00,1047,255,17,7
67,2.235567,all,1642.33,126.58,31.50,1638,124,9,6
67,2.235567,all,1335.62,23.75,16.50,1333,21,7,6
68,2.268933,all,1363.87,895.92,13.00,1362,893,5,7
68,2.268933,all,1376.14,682.57,14.00,1374,679,5,8
68,2.268933,all,1400.30,508.70,5.50,1399,507,4,4
68,2.268933,all,871.03,355.65,12.50,869,353,5,7
68,2.268933,all,1055.04,258.13,85.00,1047,255,17,7
68,2.268933,all,1642.21,126.59,32.50,1638,124,9,6
69,2.302300,all,870.88,355.91,11.00,869,353,4,7
69,2.302300,all,1055.13,258.12,86.00,1047,255,17,7
69,2.302300,all,1642.21,126.59,32.50,1638,124,9,6
70,2.335667,all,1404.88,657.48,44.00,1399,653,12,14
70,2.335667,all,1403.97,492.75,12.50,1402,490,5,6
70,2.335667,all,870.76,355.92,12.00,869,353,4,7
70,2.335667,all,1055.13,258.12,86.00,1047,255,17,7
70,2.335667,all,1642.50,126.50,30.00,1639,124,8,6
70,2.335667,all,1352.44,91.42,31.50,1348,86,11,11
70,2.335667,all,1365.54,78.47,51.00,1359,71,12,15
70,2.335667,all,1364.24,67.04,7.50,1362,65,5,5
71,2.369033,all,1399.94,497.15,18.50,1396,493,9,8
71,2.369033,all,1392.28,469.68,19.00,1390,467,6,7
71,2.369033,all,870.91,355.68,13.50,869,353,5,7
71,2.369033,all,1055.13,258.12,86.00,1047,255,17,7
71,2.369033,all,1642.33,126.58,31.50,1638,124,9,6
71,2.369033,all,1347.71,100.78,78.00,1346,88,6,28
72,2.402400,all,1415.68,688.57,20.00,1413,686,6,7
72,2.402400,all,1403.95,686.23,21.00,1401,684,7,6
72,2.402400,all,1383.27,506.38,147.50,1372,494,22,26
72,2.402400,all,870.91,355.68,13.50,869,353,5,7
72,2.402400,all,1055.13,258.12,86.00,1047,255,17,7
72,2.402400,all,1642.50,126.50,30.00,1639,124,8,6
72,2.402400,all,1336.89,20.55,33.50,1331,18,12,6
73,2.435767,all,1381.69,500.40,30.50,1378,496,7,11
73,2.435767,all,870.91,355.68,13.50,869,353,5,7
73,2.435767,all,1055.13,258.12,86.00,1047,255,17,7
73,2.435767,all,1642.50,126.50,30.00,1639,124,8,6
73,2.435767,all,1337.50,20.00,10.00,1334,18,8,5
74,2.469133,all,870.92,356.11,15.50,869,353,5,8
74,2.469133,all,1055.13,258.12,86.00,1047,255,17,7
74,2.469133,all,1642.50,126.50,30.00,1639,124,8,6
75,2.502500,all,870.91,355.68,13.50,869,353,5,7
75,2.502500,all,1055.13,258.12,86.00,1047,255,17,7
75,2.502500,all,1642.50,126.50,30.00,1639,124,8,6
76,2.535867,all,870.88,355.91,11.00,869,353,4,7
76,2.535867,all,1055.13,258.12,86.00,1047,255,17,7
76,2.535867,all,1642.33,126.58,31.50,1638,124,9,6
77,2.569233,all,870.88,355.91,11.00,869,353,4,7
77,2.569233,all,1055.13,258.12,86.00,1047,255,17,7
77,2.569233,all,1642.33,126.58,31.50,1638,124,9,6
78,2.602600,all,1053.30,641.30,5.50,1052,640,4,4
78,2.602600,all,871.14,355.60,13.50,869,353,5,7
78,2.602600,all,1055.13,258.12,86.00,1047,255,17,7
78,2.602600,all,1642.21,126.59,32.50,1638,124,9,6
79,2.635967,all,871.14,355.60,13.50,869,353,5,7
79,2.635967,all,1055.13,258.12,86.00,1047,255,17,7
79,2.635967,all,1642.33,126.58,33.50,1638,124,10,6
80,2.669333,all,1469.53,625.75,18.00,1466,623,8,7
80,2.669333,all,1459.77,426.44,18.00,1458,421,5,12
80,2.669333,all,871.03,355.65,12.50,869,353,5,7
80,2.669333,all,1055.13,258.12,86.00,1047,255,17,7
80,2.669333,all,1642.33,126.58,33.50,1638,124,10,6
80,2.669333,all,1404.19,13.61,29.50,1401,9,8,9
81,2.702700,all,871.03,355.65,12.50,869,353,5,7
81,2.702700,all,1055.13,258.12,86.00,1047,255,17,7
81,2.702700,all,1642.33,126.58,33.50,1638,124,10,6
82,2.736067,all,871.03,355.65,12.50,869,353,5,7
82,2.736067,all,1055.13,258.12,86.00,1047,255,17,7
82,2.736067,all,1642.62,126.48,31.00,1639,124,9,6
83,2.769433,all,871.03,355.65,12.50,869,353,5,7
83,2.769433,all,1432.05,365.11,121.00,1428,350,8,33
83,2.769433,all,1055.13,258.12,86.00,1047,255,17,7
83,2.769433,all,1642.62,126.48,31.00,1639,124,9,6
83,2.769433,all,1395.00,102.40,10.00,1392,100,7,5
83,2.769433,all,1388.89,69.91,176.50,1385,43,10,50
84,2.802800,all,871.03,355.65,12.50,869,353,5,7
84,2.802800,all,1055.13,258.12,86.00,1047,255,17,7
84,2.802800,all,1642.21,126.59,32.50,1638,124,9,6
84,2.802800,all,1388.81,65.34,44.00,1387,56,5,19
85,2.836167,all,871.03,355.65,12.50,869,353,5,7
85,2.836167,all,1055.13,258.12,86.00,1047,255,17,7
85,2.836167,all,1642.21,126.59,32.50,1638,124,9,6
86,2.869533,all,1469.58,889.45,102.00,1462,882,15,14
86,2.869533,all,1488.74,706.92,28.00,1485,703,7,8
86,2.869533,all,1440.75,693.21,126.50,1432,686,17,15
86,2.869533,all,1486.20,692.36,187.50,1476,685,21,19
86,2.869533,all,1427.00,650.00,24.00,1425,643,5,15
86,2.869533,all,1429.00,638.50,8.00,1428,636,3,6
86,2.869533,all,1383.26,486.10,61.00,1381,474,5,25
86,2.869533,all,871.03,355.65,12.50,869,353,5,7
86,2.869533,all,1055.13,258.12,86.00,1047,255,17,7
86,2.869533,all,1642.21,126.59,32.50,1638,124,9,6
86,2.869533,all,1332.50,24.00,10.00,1331,22,4,5
87,2.902900,all,1468.01,891.96,28.50,1464,889,10,6
87,2.902900,all,1471.34,885.41,16.50,1469,883,6,6
87,2.902900,all,1437.50,695.00,8.00,1435,694,6,3
87,2.902900,all,1486.25,692.02,68.00,1478,687,17,14
87,2.902900,all,871.03,355.65,12.50,869,353,5,7
87,2.902900,all,1055.13,258.12,86.00,1047,255,17,7
87,2.902900,all,1642.21,126.59,32.50,1638,124,9,6
88,2.936267,all,777.00,530.00,6.00,776,528,3,5
88,2.936267,all,614.30,462.30,5.50,613,461,4,4
88,2.936267,all,779.63,440.31,21.00,777,438,7,6
88,2.936267,all,1462.63,407.78,8.50,1461,406,4,5
88,2.936267,all,1470.78,397.73,13.00,1468,395,6,6
88,2.936267,all,871.03,355.65,12.50,869,353,5,7
88,2.936267,all,610.58,334.33,20.00,608,331,6,7
88,2.936267,all,1055.13,258.12,86.00,1047,255,17,7
88,2.936267,all,1642.21,126.59,32.50,1638,124,9,6
88,2.936267,all,1412.32,13.40,26.50,1405,10,12,7
89,2.969633,all,1424.17,903.22,19.50,1422,900,5,7
89,2.969633,all,1449.74,654.30,132.00,1443,646,16,17
89,2.969633,all,871.03,355.65,12.50,869,353,5,7
89,2.969633,all,781.56,265.99,19.50,778,261,7,10
89,2.969633,all,1055.13,258.12,86.00,1047,255,17,7
89,2.969633,all,1642.33,126.58,31.50,1638,124,9,6
90,3.003000,all,1450.10,654.72,47.00,1444,651,14,8
90,3.003000,all,871.02,356.11,14.50,869,353,5,8
90,3.003000,all,1055.04,258.13,85.00,1047,255,17,7
90,3.003000,all,1642.50,126.50,30.00,1639,124,8,6
91,3.036367,all,1398.00,659.50,10.00,1396,658,5,4
91,3.036367,all,1388.85,535.48,41.00,1383,530,13,12
91,3.036367,all,871.02,356.11,14.50,869,353,5,8
91,3.036367,all,1382.85,335.80,45.00,1379,329,11,14
91,3.036367,all,1055.04,258.13,85.00,1047,255,17,7
91,3.036367,all,1642.33,126.58,31.50,1638,124,9,6
91,3.036367,all,1348.11,97.19,26.00,1347,91,4,14
91,3.036367,all,1357.29,74.59,11.50,1355,72,5,6
92,3.069733,all,871.02,356.11,14.50,869,353,5,8
92,3.069733,all,1055.04,258.13,85.00,1047,255,17,7
92,3.069733,all,1642.50,126.50,30.00,1639,124,8,6
93,3.103100,all,871.02,356.11,14.50,869,353,5,8
93,3.103100,all,1055.04,258.13,85.00,1047,255,17,7
93,3.103100,all,1642.50,126.50,30.00,1639,124,8,6
94,3.136467,all,1505.99,666.56,64.50,1498,659,18,16
94,3.136467,all,1486.89,555.68,19.50,1482,553,10,7
94,3.136467,all,1527.13,510.43,40.00,1524,505,7,11
94,3.136467,all,871.02,356.11,14.50,869,353,5,8
94,3.136467,all,1055.04,258.13,85.00,1047,255,17,7
94,3.136467,all,1642.45,126.56,32.50,1638,124,10,6
95,3.169833,all,1504.08,667.75,12.00,1501,666,7,5
95,3.169833,all,1527.11,510.26,16.50,1525,507,5,7
95,3.169833,all,871.02,356.11,14.50,869,353,5,8
95,3.169833,all,1055.26,258.08,84.50,1047,255,17,7
95,3.169833,all,1642.50,126.63,31.50,1638,124,10,6
96,3.203200,all,871.12,356.04,15.50,869,353,5,8
96,3.203200,all,1055.26,258.08,84.50,1047,255,17,7
96,3.203200,all,1642.68,126.55,30.00,1639,124,9,6
97,3.236567,all,1462.35,565.63,22.50,1460,561,6,11
97,3.236567,all,1463.59,543.28,11.50,1462,541,4,6
97,3.236567,all,1008.44,440.96,45.00,1004,436,10,10
97,3.236567,all,1014.60,431.85,16.00,1011,428,8,8
97,3.236567,all,1451.00,402.14,14.00,1450,397,3,11
97,3.236567,all,1448.78,390.37,8.50,1447,389,5,4
97,3.236567,all,1447.03,385.69,12.00,1445,384,6,5
97,3.236567,all,871.12,356.04,15.50,869,353,5,8
