sconds,hours,Ch1,Ch3,Ch4,Temp
1525,0.423611111,194.22,191.37,193.28,26.921
1530,0.425,194.18,191.35,193.27,26.927
1535,0.426388889,194.14,191.34,193.28,26.931
1540,0.427777778,194.15,191.34,193.27,26.932
1545,0.429166667,194.18,191.32,193.26,26.936
1550,0.430555556,194.2,191.33,193.25,26.934
1555,0.431944444,194.2,191.33,193.25,26.934
1560,0.433333333,194.15,191.33,193.23,26.933
1565,0.434722222,194.14,191.32,193.2,26.934
1570,0.436111111,194.13,191.35,193.23,26.933
1575,0.4375,194.14,191.38,193.28,26.928
1580,0.438888889,194.16,191.38,193.32,26.925
1585,0.440277778,194.18,191.37,193.32,26.921
1590,0.441666667,194.19,191.38,193.34,26.919
1595,0.443055556,194.17,191.39,193.36,26.917
1600,0.444444444,194.16,191.4,193.36,26.915
1605,0.445833333,194.17,191.41,193.36,26.911
1610,0.447222222,194.2,191.4,193.36,26.911
1615,0.448611111,194.21,191.4,193.39,26.91
1620,0.45,194.18,191.38,193.4,26.912
1625,0.451388889,194.15,191.38,193.39,26.912
1630,0.452777778,194.13,191.36,193.39,26.914
1635,0.454166667,194.15,191.34,193.37,26.917
1640,0.455555556,194.15,191.3,193.37,26.92
1645,0.456944444,194.15,191.26,193.38,26.923
1650,0.458333333,194.14,191.23,193.38,26.923
1655,0.459722222,194.14,191.25,193.38,26.924
1660,0.461111111,194.1,191.26,193.37,26.924
1665,0.4625,194.1,191.25,193.38,26.923
1670,0.463888889,194.11,191.22,193.39,26.92
1675,0.465277778,194.15,191.22,193.38,26.919
1680,0.466666667,194.12,191.19,193.37,26.92
1685,0.468055556,194.08,191.2,193.36,26.92
1690,0.469444444,194.06,191.19,193.34,26.92
1695,0.470833333,194.07,191.2,193.33,26.916
1700,0.472222222,194.13,191.19,193.33,26.915
1705,0.473611111,194.11,191.14,193.34,26.915
1710,0.475,194.09,191.12,193.33,26.917
1715,0.476388889,194.06,191.11,193.33,26.917
1720,0.477777778,194.06,191.12,193.34,26.916
1725,0.479166667,194.1,191.12,193.34,26.915
1730,0.480555556,194.09,191.09,193.31,26.916
1735,0.481944444,194.09,191.06,193.29,26.917
1740,0.483333333,194.09,191.03,193.28,26.918
1745,0.484722222,194.08,191.02,193.26,26.919
1750,0.486111111,194.09,191.01,193.23,26.921
1755,0.4875,194.04,191.01,193.2,26.924
1760,0.488888889,193.97,190.98,193.16,26.928
1765,0.490277778,193.96,190.96,193.15,26.932
1770,0.491666667,193.9,190.9,193.09,26.94
1775,0.493055556,193.87,190.85,193.05,26.947
1780,0.494444444,193.82,190.83,193,26.953
1785,0.495833333,193.85,190.8,192.99,26.957
1790,0.497222222,193.85,190.79,192.98,26.958
1795,0.498611111,193.86,190.79,192.97,26.958
1800,0.5,193.83,190.81,192.97,26.956
1805,0.501388889,193.83,190.83,192.96,26.954
1810,0.502777778,193.84,190.82,192.96,26.953
1815,0.504166667,193.88,190.8,192.93,26.951
1820,0.505555556,193.9,190.79,192.93,26.948
1825,0.506944444,193.89,190.79,192.92,26.945
1830,0.508333333,193.85,190.8,192.95,26.94
1835,0.509722222,193.87,190.84,192.95,26.938
1840,0.511111111,193.89,190.86,192.95,26.938
1845,0.5125,193.91,190.89,192.93,26.937
1850,0.513888889,193.92,190.89,192.94,26.934
1855,0.515277778,193.93,190.89,192.99,26.931
1860,0.516666667,193.94,190.88,193,26.927
1865,0.518055556,193.94,190.9,193.02,26.925
1870,0.519444444,193.92,190.91,193.03,26.921
1875,0.520833333,193.91,190.96,193.04,26.919
1880,0.522222222,193.92,190.94,193.06,26.918
1885,0.523611111,193.92,190.97,193.04,26.914
1890,0.525,193.95,191.01,193.06,26.91
1895,0.526388889,193.96,191.03,193.1,26.903
1900,0.527777778,194.01,191.03,193.15,26.9
1905,0.529166667,194,190.99,193.16,26.9
1910,0.530555556,194.03,191.01,193.16,26.899
1915,0.531944444,194.03,191.04,193.17,26.899
1920,0.533333333,194.07,191.03,193.18,26.897
1925,0.534722222,194,191.01,193.17,26.899
1930,0.536111111,193.97,191.02,193.17,26.898
1935,0.5375,193.92,191.02,193.19,26.899
1940,0.538888889,193.97,191.03,193.2,26.897
1945,0.540277778,193.97,191,193.2,26.897
1950,0.541666667,193.98,190.98,193.2,26.895
1955,0.543055556,193.98,190.95,193.21,26.894
1960,0.544444444,193.99,190.94,193.21,26.894
1965,0.545833333,194,190.94,193.23,26.892
1970,0.547222222,194,190.95,193.26,26.892
1975,0.548611111,194,190.92,193.25,26.892
1980,0.55,193.98,190.93,193.28,26.893
1985,0.551388889,193.98,190.92,193.28,26.894
1990,0.552777778,193.96,190.89,193.28,26.896
1995,0.554166667,193.96,190.82,193.27,26.899
2000,0.555555556,193.96,190.79,193.25,26.898
2005,0.556944444,193.93,190.77,193.28,26.898
2010,0.558333333,193.91,190.72,193.26,26.898
2015,0.559722222,193.87,190.68,193.28,26.901
2020,0.561111111,193.86,190.62,193.27,26.901
2025,0.5625,193.87,190.59,193.27,26.902
2030,0.563888889,193.91,190.54,193.25,26.902
2035,0.565277778,193.9,190.5,193.22,26.902
2040,0.566666667,193.9,190.47,193.22,26.902
2045,0.568055556,193.84,190.42,193.24,26.902
2050,0.569444444,193.84,190.41,193.26,26.902
2055,0.570833333,193.82,190.37,193.27,26.9
2060,0.572222222,193.88,190.33,193.25,26.9
2065,0.573611111,193.87,190.26,193.24,26.899
2070,0.575,193.88,190.23,193.25,26.9
2075,0.576388889,193.86,190.18,193.26,26.902
2080,0.577777778,193.87,190.13,193.26,26.905
2085,0.579166667,193.86,190.08,193.25,26.91
2090,0.580555556,193.83,190.04,193.23,26.915
2095,0.581944444,193.81,189.98,193.2,26.92
2100,0.583333333,193.78,189.88,193.17,26.924
2105,0.584722222,193.74,189.83,193.17,26.923
2110,0.586111111,193.73,189.79,193.18,26.923
2115,0.5875,193.73,189.78,193.18,26.922
2120,0.588888889,193.76,189.72,193.19,26.922
2125,0.590277778,193.75,189.68,193.2,26.921
2130,0.591666667,193.78,189.68,193.22,26.919
2135,0.593055556,193.8,189.67,193.23,26.916
2140,0.594444444,193.84,189.65,193.25,26.913
2145,0.595833333,193.81,189.63,193.25,26.911
2150,0.597222222,193.75,189.62,193.24,26.91
2155,0.598611111,193.71,189.62,193.25,26.906
2160,0.6,193.78,189.58,193.25,26.904
2165,0.601388889,193.81,189.54,193.24,26.902
2170,0.602777778,193.83,189.51,193.21,26.904
2175,0.604166667,193.74,189.48,193.19,26.906
2180,0.605555556,193.7,189.47,193.17,26.91
2185,0.606944444,193.69,189.43,193.17,26.913
2190,0.608333333,193.72,189.38,193.15,26.917
2195,0.609722222,193.77,189.31,193.14,26.919
2200,0.611111111,193.75,189.27,193.14,26.92
2205,0.6125,193.75,189.29,193.15,26.914
2210,0.613888889,193.74,189.27,193.15,26.913
2215,0.615277778,193.75,189.27,193.15,26.911
2220,0.616666667,193.76,189.25,193.15,26.912
2225,0.618055556,193.74,189.25,193.17,26.911
2230,0.619444444,193.75,189.23,193.17,26.911
2235,0.620833333,193.74,189.21,193.18,26.912
2240,0.622222222,193.74,189.22,193.17,26.91
2245,0.623611111,193.71,189.18,193.15,26.911
2250,0.625,193.7,189.14,193.13,26.911
2255,0.626388889,193.67,189.1,193.12,26.911
2260,0.627777778,193.66,189.08,193.13,26.91
2265,0.629166667,193.71,189.06,193.15,26.91
2270,0.630555556,193.7,189.05,193.16,26.912
2275,0.631944444,193.69,189.02,193.16,26.914
2280,0.633333333,193.63,189,193.15,26.916
2285,0.634722222,193.64,188.98,193.12,26.917
2290,0.636111111,193.65,188.95,193.1,26.92
2295,0.6375,193.65,188.94,193.07,26.923
2300,0.638888889,193.65,188.89,193.05,26.928
2305,0.640277778,193.63,188.89,193.04,26.927
2310,0.641666667,193.58,188.86,193.06,26.926
2315,0.643055556,193.53,188.84,193.08,26.925
2320,0.644444444,193.52,188.81,193.1,26.926
2325,0.645833333,193.57,188.8,193.11,26.925
2330,0.647222222,193.6,188.8,193.12,26.922
2335,0.648611111,193.6,188.78,193.12,26.92
2340,0.65,193.54,188.76,193.14,26.923
2345,0.651388889,193.53,188.74,193.14,26.925
2350,0.652777778,193.49,188.72,193.13,26.928
2355,0.654166667,193.51,188.71,193.12,26.928
2360,0.655555556,193.51,188.73,193.13,26.926
2365,0.656944444,193.56,188.76,193.15,26.918
2370,0.658333333,193.6,188.8,193.22,26.908
2375,0.659722222,193.63,188.82,193.25,26.9
2380,0.661111111,193.66,188.83,193.3,26.894
2385,0.6625,193.71,188.83,193.3,26.889
2390,0.663888889,193.73,188.82,193.33,26.887
2395,0.665277778,193.75,188.81,193.34,26.886
2400,0.666666667,193.72,188.81,193.35,26.885
2405,0.668055556,193.71,188.81,193.35,26.884
2410,0.669444444,193.72,188.8,193.35,26.884
